Allied_Nations,Diplomatic_Meetings_Set,Percent_Of_Forces_Mobilized,Hostile_Nations,Active_Threats,Inactive_Threats,Citizen_Fear_Index,Closest_Threat_Distance(km),Aircraft_Carriers_Responding,Troops_Mobilized(thousands),DEFCON_Level,ID
16,1,0.67,3,6,25,0.787812041,324.36,1,862400,3,7570
8,1,0.11,2,38,48,0.419236417,359.34,0,959200,4,12128
9,1,0.49,3,32,69,0.582232012,332.84,1,836000,3,2181
7,0,0.3,2,31,52,0.589574156,358.28,1,924000,3,5946
8,1,0.12,5,13,42,0.552863436,364.64,0,968000,2,9054
6,1,0.1,2,4,11,0.508810573,387.96,1,880000,2,10947
7,1,0.08,2,42,52,0.357562408,349.8,1,1038400,4,4717
8,1,0.1,2,34,45,0.378120411,348.74,1,1038400,4,8008
10,0,0.65,7,18,39,0.656387665,333.9,1,959200,2,8179
8,0,0.29,3,18,58,0.618942731,349.8,1,800800,2,6324
7,0,0.3,2,35,53,0.430983847,342.38,1,844800,2,3789
10,1,0.22,2,8,28,0.662995595,334.96,1,888800,2,8946
10,0,0.73,6,6,17,0.508810573,334.96,1,994400,4,3629
6,0,0,2,27,60,0.42804699,365.7,1,968000,3,2451
7,1,0.31,4,51,140,0.429515419,347.68,1,1038400,4,4028
8,1,0.08,3,15,63,0.552863436,354.04,1,836000,2,10493
8,1,0,1,6,13,0.412628488,358.28,0,836000,1,20
6,1,0,2,5,27,0.398678414,378.42,0,950400,2,2064
7,1,0,2,4,8,0.457415565,355.1,1,959200,1,2765
13,0,0.49,6,10,24,0.831864905,325.42,1,1056000,3,2938
7,1,0.12,2,4,7,0.457415565,344.5,1,871200,2,10309
8,1,0.01,2,5,11,0.36784141,358.28,1,1012000,3,3918
8,1,0,1,8,20,0.464757709,358.28,1,853600,2,4830
7,1,0.03,2,14,31,0.395007342,354.04,1,809600,3,6630
10,0,0.58,3,5,10,0.52349486,333.9,1,844800,2,11434
8,1,0.13,2,11,31,0.464757709,345.56,1,959200,2,10987
10,0,0.35,2,10,28,0.529368576,341.32,1,906400,2,8830
6,1,0.09,2,4,13,0.317914831,393.26,1,959200,2,2237
8,0,0.15,6,16,108,0.567547724,346.62,0,827200,3,4196
8,0,0.33,2,15,29,0.376651982,350.86,1,994400,4,4755
8,1,0.24,2,15,63,0.464757709,349.8,1,836000,2,5438
7,0,0.38,1,17,31,0.446402349,355.1,1,915200,3,6012
7,1,0,3,21,39,0.453010279,357.22,1,950400,2,8779
11,1,0.49,3,9,23,0.589574156,349.8,1,897600,2,9273
7,0,0,2,7,20,0.479441997,374.18,1,880000,3,9173
7,1,0.12,4,52,71,0.398678414,347.68,0,941600,3,6809
8,0,0.1,2,9,50,0.413362702,359.34,1,862400,3,7462
8,1,0.13,3,21,89,0.466226138,332.84,1,827200,2,382
9,0,0.34,2,45,102,0.52349486,326.48,1,862400,2,5152
8,0,0.32,3,24,122,0.479441997,349.8,1,818400,2,8616
8,1,0.27,2,17,91,0.42804699,352.98,0,836000,2,6514
6,1,0.2,8,55,121,0.376651982,344.5,1,985600,3,2210
8,0,0.32,3,26,90,0.479441997,352.98,1,827200,2,5783
6,1,0.09,2,7,28,0.303230543,373.12,1,1003200,3,4445
9,1,0.21,2,8,28,0.567547724,330.72,1,844800,2,10051
8,1,0.1,3,18,101,0.552863436,343.44,1,897600,3,6047
5,0,0.25,2,29,55,0.290014684,371,1,924000,3,4540
9,1,0.23,2,12,21,0.417767988,338.14,1,853600,2,6906
7,0,0.47,2,14,25,0.235682819,354.04,1,1073600,4,7290
8,0,0.48,3,39,106,0.52349486,349.8,1,800800,1,11278
9,0,0.48,4,3,11,0.633627019,337.08,1,1029600,3,6499
8,1,0,2,7,14,0.389867841,334.96,1,862400,2,2272
9,1,0.28,2,4,28,0.457415565,347.68,1,1038400,3,1180
13,0,0.49,3,5,21,0.773127753,328.6,1,827200,3,5780
8,1,0.1,3,18,22,0.538179148,338.14,0,836000,2,12089
5,1,0,1,16,46,0.112334802,397.5,1,1047200,3,10487
6,1,0.01,2,3,19,0.272393539,376.3,1,976800,3,2835
8,1,0.14,2,17,42,0.530837004,356.16,1,888800,3,3697
8,0,0.42,2,9,17,0.37958884,345.56,1,1100000,5,1564
8,0,0.06,2,12,50,0.435389134,344.5,0,853600,2,87
8,0,0.31,2,23,49,0.483847283,379.48,1,906400,3,7845
9,1,0.23,2,8,28,0.599853157,358.28,0,818400,2,6000
7,1,0,2,22,37,0.491189427,354.04,1,853600,4,3168
7,0,0.27,2,23,69,0.503671072,381.6,1,827200,2,11015
10,1,0.19,11,31,121,0.656387665,341.32,1,915200,2,1459
8,0,0.37,2,6,17,0.27092511,346.62,1,1100000,4,7285
6,1,0.14,2,15,20,0.372246696,354.04,1,959200,3,3269
8,0,0.36,2,7,17,0.395741557,351.92,1,968000,4,2453
12,1,0.49,3,27,99,0.787812041,330.72,1,836000,2,10724
8,1,0.27,2,11,79,0.473568282,345.56,0,880000,3,11302
7,1,0.02,8,55,124,0.649779736,352.98,1,906400,2,5524
12,0,0.58,3,28,54,0.69236417,329.66,1,1012000,2,2415
7,0,0.3,2,31,45,0.329662261,342.38,0,1135200,3,3318
7,1,0.03,2,7,32,0.442731278,356.16,1,880000,2,4950
6,0,0.23,2,13,25,0.335535977,377.36,1,1003200,2,8485
8,1,0.29,3,16,28,0.508810573,350.86,1,880000,2,9552
7,1,0.13,2,15,20,0.231277533,349.8,1,924000,3,1318
7,1,0.08,4,5,21,0.508810573,367.82,1,968000,2,11038
8,1,0.15,2,27,109,0.435389134,326.48,0,888800,3,24
7,1,0.1,2,12,28,0.464757709,365.7,0,897600,2,8932
9,1,0.22,2,5,28,0.655653451,351.92,1,968000,2,10990
7,1,0.1,2,12,26,0.444199706,362.52,0,924000,2,11035
10,0,0.58,3,7,20,0.508810573,333.9,1,924000,2,7291
7,1,0,2,18,32,0.567547724,361.46,1,836000,2,1208
8,1,0.06,2,5,11,0.457415565,356.16,1,880000,1,10362
8,0,0.19,2,24,38,0.375183554,347.68,1,932800,2,1159
10,0,0.42,2,5,13,0.538179148,342.38,1,915200,3,9071
7,0,0.47,2,17,29,0.350220264,360.4,1,976800,3,5386
8,0,0.26,2,10,28,0.424375918,344.5,1,897600,3,1330
7,1,0.2,2,8,25,0.558737151,369.94,1,827200,2,3108
7,0,0.44,2,14,67,0.519089574,375.24,1,800800,2,1119
8,0,0.4,2,6,15,0.381057269,360.4,1,1038400,3,10252
6,0,0.37,2,18,32,0.244493392,356.16,1,1135200,4,1491
9,1,0.26,2,4,11,0.685022026,356.16,0,853600,2,7003
5,1,0,1,15,28,0.171071953,425.06,1,1073600,4,12066
8,1,0,4,5,14,0.611600587,356.16,0,836000,1,8060
7,0,0.25,2,3,28,0.42804699,349.8,0,862400,2,9682
9,1,0.3,2,5,14,0.582232012,348.74,1,871200,2,2002
6,0,0.21,2,20,51,0.480176211,359.34,1,862400,2,10816
6,0,0.16,2,12,25,0.372246696,375.24,1,1056000,2,8394
8,1,0.23,2,43,145,0.494126285,343.44,1,836000,2,5069
7,1,0.06,2,17,26,0.372246696,372.06,1,1038400,3,4507
